"","Pr","Age0.19","Age20.44","Age45.64","Age65.","ObesityBMI.30","ObesityBMI30.40","ObesityBMI.40","SmokingYes","ComorbidityYes"
"1",0,1,0,0,0,1,0,0,0,0
"2",0,1,0,0,0,0,1,0,0,0
"3",0,1,0,0,0,0,0,1,0,0
"4",0.048,0,1,0,0,1,0,0,0,0
"5",0.0988777588999621,0,0,1,0,1,0,0,0,0
"6",0.192764040892841,0,0,0,1,1,0,0,0,0
"7",0.0535715908632533,0,1,0,0,0,1,0,0,0
"8",0.109674621618749,0,0,1,0,0,1,0,0,0
"9",0.211407599880185,0,0,0,1,0,1,0,0,0
"10",0.0597493136250934,0,1,0,0,0,0,1,0,0
"11",0.12149148815519,0,0,1,0,0,0,1,0,0
"12",0.231337561709266,0,0,0,1,0,0,1,0,0
"13",0.0998743000344459,0,1,0,0,1,0,0,1,0
"14",0.194502576664879,0,0,1,0,1,0,0,1,0
"15",0.34447675244773,0,0,0,1,1,0,0,1,0
"16",0.110766603326996,0,1,0,0,0,1,0,1,0
"17",0.213269857839848,0,0,1,0,0,1,0,1,0
"18",0.37104892089088,0,0,0,1,0,1,0,1,0
"19",0.122684912529991,0,1,0,0,0,0,1,1,0
"20",0.233323436191646,0,0,1,0,0,0,1,1,0
"21",0.39842499502304,0,0,0,1,0,0,1,1,0
"22",0.0529685941991667,0,1,0,0,1,0,0,0,1
"23",0.108512538027381,0,0,1,0,1,0,0,0,1
"24",0.20942113092371,0,0,0,1,1,0,0,0,1
"25",0.0590811219086421,0,1,0,0,0,1,0,0,1
"26",0.120221103097624,0,0,1,0,0,1,0,0,1
"27",0.229218256243563,0,0,0,1,0,1,0,0,1
"28",0.0658499825359105,0,1,0,0,0,0,1,0,1
"29",0.133004543241088,0,0,1,0,0,0,1,0,1
"30",0.250294353698421,0,0,0,1,0,0,1,0,1
"31",0.109594373632753,0,1,0,0,1,0,0,1,1
"32",0.211270578373601,0,0,1,0,1,0,0,1,1
"33",0.368262905339353,0,0,0,1,1,0,0,1,1
"34",0.121403772868523,0,1,0,0,0,1,0,1,1
"35",0.231191409803648,0,0,1,0,0,1,0,1,1
"36",0.395562703827043,0,0,0,1,0,1,0,1,1
"37",0.134293773443615,0,1,0,0,0,0,1,1,1
"38",0.252389526671686,0,0,1,0,0,0,1,1,1
"39",0.423529495053583,0,0,0,1,0,0,1,1,1
